name	investment	area	industry	time	operationmode	mechanism	level	term	people	tele	schedule	overview	scope
贵州省黔南州独山县殡仪馆及公墓项目	1.30亿元	贵州省	社会保障	待定	BOT	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		一期工程建设有两个共1000个车位的停车场、三层楼餐厅1栋、火化车间1栋、两中一小悼念厅3个、公厕1处，二期工程建设三层综合办公服务楼1栋、一大两小悼念厅3个、公厕1处，总建筑面积7000平方米。	
													
贵州省铜仁市松桃县苗人古城整体开发建设项目	40.2146亿元	贵州省	片区开发	待定	股权合作	股权合作/财政补贴/匹配资源	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		规划用地总面积5170亩。安置区总建筑面积592728平方米其中：住宅399600平方米辅助及服务用房73368平方米，地下建筑84360平方米，小学、幼儿园等公共教育设施23400平方米，便民综合市场12000平方米。场平挖填方4308334立方米，水土保持面积487.71公顷，绿化面积350000平方米，新建风雨桥82.08米，城市主干道8公里、城市支路0.68公里，便民健身场地及停车场硬化面积30000平方米，新增供水能力4.2吨/日，污水处理能力0.7吨/日，生活垃圾处理能力86.5吨/日，新建市政综合管网总长275733米。	
													
贵州省遵义市金鼎山镇生态景区建设项目	120.00亿元	贵州省	生态建设和环境保护	待定	股权合作/BOO	股权合作/特许经营/匹配资源	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		以黔北佛教文化圣地金鼎山为中心建AAAA级金鼎山佛教文化旅游区，以30000亩大板水森林公园为中心建AAAA级生态旅游区，以集镇为中心建AAAA级黔北生态旅游古镇，以石林石柱群及标准地层为中心建金鼎山地质公园，以葡萄沟为中心建金鼎山葡萄公园，以现有的玫瑰园为中心建金鼎山花卉产业园，以莲池、金川乡村旅游带建金鼎山乡村生态旅游度假区、4星级生态养生养老度假区。	
													
贵州省毕节市赫章县西城区高级中学	2.00亿元	贵州省	教育	待定	BOT	财政补贴	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		68684平方米教学及辅助用房	
													
贵州省黔南州荔波县大、小七孔景区游客集散中心建设项目	1.50亿元	贵州省	旅游	待定	BO0T	股权合作、特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		建设用地650亩，旅游服务中心1座/1.66万㎡、管理房、休息亭廊、景区五星级旅游厕所、景区公安分局办公楼、新建生态化停车场13万平方米、绿化、美化200亩、景区标识、标牌及电子显示屏设备安装2处及配套设施等。	
													
贵州省安顺市关岭县经营性公墓建设项目	1.60亿元	贵州省	社会保障	待定	BOT（特许经营）	特许经营	工商联推介	2016年11月8日	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"	"<ahref=""javascript:void(0)""onclick=""ViewProjectContactInfo('1')"">查看详情</a>"		占地面积150亩，墓穴14300个，道路18000平方米、停车场10000平方米、园林绿化29744平方米。	
													
